8b1a9953c4611296a827abf8c47804d7;0.0, 0.8472599983215332;Hello
d7641d504741da8f29a487790c469d9b;0.0, 0.19743013381958008, 0.21682095527648926, 0.7547719478607178, 1.952012062072754;Im a crazy robot
9d25d92affaf36d72121f6a3244de5a4;0.0, 0.2008991241455078, 0.20885205268859863, 0.6861391067504883, 1.8708620071411133;I'm a crazy robot
0c14338fd0cc3c11b9caed21ad7a3f3f;0.0, 0.6832449436187744, 0.7775430679321289, 0.9486420154571533, 1.6606829166412354;hello who are you?
95e8908846c0221723e5eb3a2305bf68;0.0, 0.5302379131317139, 0.9143319129943848, 1.0347950458526611, 1.505462884902954, 1.8137249946594238, 1.9340858459472656, 3.6707398891448975, 3.7065389156341553, 4.311491966247559, 4.988378047943115, 5.057307958602905, 5.325782060623169, 5.470785856246948, 5.698063850402832, 7.156656980514526, 7.185651063919067, 7.295003890991211, 8.134914875030518, 8.274433851242065, 8.889216899871826, 9.753144979476929, 9.955878973007202, 10.265224933624268, 10.506422996520996, 12.125479936599731, 12.153568029403687, 12.679831981658936, 12.907951831817627, 13.567873001098633, 13.624773979187012, 14.992887020111084, 15.220469951629639, 15.622833967208862, 15.804642915725708, 16.041043043136597, 16.14529800415039, 17.57910394668579, 17.63927388191223, 17.821956872940063, 17.983026027679443, 18.238656997680664, 18.66616201400757, 18.827961921691895, 19.287638902664185, 19.344987869262695, 19.876107931137085, 21.478209018707275, 22.202473878860474, 22.78462505340576, 23.009553909301758, 23.723567962646484, 23.938992977142334, 24.05865502357483, 25.279279947280884;Its hazards are hostile to us all. Its conquest deserves the best of all mankind, and its opportunity for peaceful cooperation may never come again. But why, some say, the moon? Why choose this as our goal? And they may well ask why climb the highest mountain? Why, 35 years ago, fly the Atlantic?
421b9a6d61b3f1839104c5e842cca596;0.0, 0.4905421733856201, 0.6298480033874512, 0.7999870777130127, 0.9744970798492432, 1.269731044769287, 1.6948010921478271, 2.80020809173584;no its not your turn David Cunliffe!
5d41402abc4b2a76b9719d911017c592;0.0, 0.8949990272521973;hello
405f071e2bc6daa7ba7cd13fdfd917d0;0.0, 0.5944111347198486, 0.6558730602264404, 0.9984109401702881, 1.2465910911560059, 2.020106077194214;Hello I can see you!
1f40b48e13d3fa4a3f84d6d7f8e9891a;0.0, 0.6755790710449219, 0.7956252098083496, 1.0997061729431152, 1.3419041633605957, 2.102717161178589;Hello, I can see you!
7105f32280940271293ee00ac97da5a7;0.0, 1.004525899887085;Howdy!
60f4a68c292cf0e697c9e65057dcb5b4;0.0, 0.33673095703125, 0.3479750156402588, 0.5013618469238281, 1.3820040225982666;How are you doing?
b83c7308ced7290e5ad6f5c5593ae777;0.0, 0.3388221263885498, 0.6165339946746826, 0.8431439399719238, 1.096127986907959, 1.892699956893921;I'm glad to hear it.
4efa2e9e0b73cde97389e657012c636f;0.0, 0.401975154876709, 1.4098141193389893, 3.3302931785583496;Jan 19, 2016
4fa321c5edc3df6b5ef3c365ebfd6d3c;0.0, 0.46926307678222656, 0.5220649242401123, 0.6626310348510742, 0.9124870300292969, 1.0619010925292969, 1.182893991470337, 2.144304037094116, 2.327589988708496, 2.462451934814453, 3.186864137649536, 3.3667781352996826, 3.4826979637145996, 4.0021281242370605, 4.179497957229614, 5.288908958435059;I don't know why we are here, except to persist and to create when possible
7e442dc68dcf4f263e7bab99ff8f937e;0.0, 0.9665300846099854, 1.1846880912780762, 1.4775290489196777, 1.595778226852417, 1.7949090003967285, 2.25347900390625, 2.3240060806274414, 2.5365350246429443, 3.0877180099487305, 3.5932040214538574, 3.690282106399536, 4.929504156112671;I'll have lunch if I can get my favorite flavor of electricity.
8d3793e176935d0e117bf0744c53d7bc;0.0, 0.7912790775299072, 0.8218269348144531, 1.300497055053711, 1.5792438983917236, 1.8142969608306885, 2.3710739612579346, 2.842823028564453, 3.012471914291382, 3.819767951965332, 4.337483882904053;Are you asking about my favourite flavour is electricity ?
0b4b825f169752eb94aef4810d35ff53;0.0, 0.42119288444519043, 0.7056589126586914, 1.1180109977722168, 2.543787956237793, 2.5627388954162598, 2.5931529998779297, 2.7546889781951904, 3.3390848636627197, 4.342365980148315;Let's talk about art! Who is your favorite artist?
04e35eb3e4fcb8b395191053c359ca0e;0.0, 0.18955492973327637, 0.20670604705810547, 0.9840810298919678;How are you?
b69f296124bc9196c1321f679be26866;0.0, 1.7435081005096436, 1.7684681415557861, 1.7864480018615723, 2.5537211894989014, 2.949449062347412, 3.6727302074432373;Uh.. I am fine, thank you.
96940740a03f6fcfd75bb2f81882825e;0.0, 0.4433159828186035, 0.4748959541320801, 0.9271390438079834, 1.2430660724639893, 1.4351351261138916, 2.0318400859832764, 2.3745949268341064, 2.9068949222564697;Are you asking about my favourite colour ?
a733f25e4322d23b34b6d0f618cdb939;0.0, 0.3879048824310303, 0.5706930160522461, 0.8664898872375488, 0.9598228931427002, 1.3039820194244385, 1.6039228439331055, 1.7250008583068848, 2.5082318782806396;I don't want to talk about that now.
ebc74220d97e41450b49cd2aa7ffc6e6;0.0, 0.32578110694885254, 0.4820859432220459, 1.3537659645080566;how's your day?
396199333edbf40ad43e62a1c1397793;0.0, 0.2088000774383545, 1.013927936553955;Hi there!
